"Schema Type","Table Name","Column Name","GA4 Source Field","Business Description","Data Type","Grain","Nullable","Transformation Rule","Notes"
"DIMENSION","dim_date","date_key","date","Surrogate key for date dimension","INTEGER","Daily","N","CAST(REPLACE(date, '-', '') AS INT)","Primary key"
"DIMENSION","dim_date","full_date","date","Full date value","DATE","Daily","N","PARSE_DATE('%Y%m%d', date)","Calendar date"
"DIMENSION","dim_date","day_of_week","dayOfWeek","Day of the week (0=Sunday)","INTEGER","Daily","N","Direct mapping","0-6 range"
"DIMENSION","dim_date","day_of_week_name","dayOfWeek","Day name (Monday, Tuesday, etc.)","VARCHAR(15)","Daily","N","CASE dayOfWeek WHEN 0 THEN 'Sunday' ... END","Derived"
"DIMENSION","dim_date","day_of_month","date","Day of the month","INTEGER","Daily","N","EXTRACT(DAY FROM date)","1-31 range"
"DIMENSION","dim_date","week_of_year","isoWeek","ISO week number","INTEGER","Daily","N","Direct mapping","1-53 range"
"DIMENSION","dim_date","month","month","Month number","INTEGER","Daily","N","Direct mapping","1-12 range"
"DIMENSION","dim_date","month_name","month","Month name","VARCHAR(15)","Daily","N","FORMAT_DATE('%B', date)","January-December"
"DIMENSION","dim_date","quarter","date","Quarter of the year","INTEGER","Daily","N","EXTRACT(QUARTER FROM date)","1-4 range"
"DIMENSION","dim_date","year","year","Calendar year","INTEGER","Daily","N","Direct mapping","YYYY format"
"DIMENSION","dim_date","is_weekend","dayOfWeek","Weekend indicator","BOOLEAN","Daily","N","dayOfWeek IN (0, 6)","TRUE if Saturday or Sunday"
"DIMENSION","dim_time","time_key","hour","Surrogate key for time dimension","INTEGER","Hourly","N","hour","0-23 range"
"DIMENSION","dim_time","hour_of_day","hour","Hour of day (0-23)","INTEGER","Hourly","N","Direct mapping","24-hour format"
"DIMENSION","dim_time","hour_label","hour","Hour label with AM/PM","VARCHAR(10)","Hourly","N","FORMAT('%d:00 %s', MOD(hour,12), IF(hour<12,'AM','PM'))","12-hour format"
"DIMENSION","dim_time","day_period","hour","Time period of day","VARCHAR(15)","Hourly","N","CASE WHEN hour<6 THEN 'Night' WHEN hour<12 THEN 'Morning' WHEN hour<18 THEN 'Afternoon' ELSE 'Evening' END","Derived"
"DIMENSION","dim_user","user_key","user_pseudo_id","Surrogate key for user","INTEGER","Per User","N","ROW_NUMBER() or HASH","Primary key"
